Resumen PNL
Tipo,Valor (USD)
PNL LONG,-0.5399999999999988
PNL SHORT,0.3150000000000007
PNL TOTAL,-0.2249999999999981

Tokens Necesarios para Promediar
Tokens Recompra,Nuevo Precio Promedio
22.29654403567447,0.09080708769397329

Niveles de Stop Loss
Nivel,Precio Stop,Tokens Asignados,Pérdida Nivel,PNL Total en Nivel
1,0.0892515,7.432181345224823,-0.003333333333333366,-0.22833333333333145
2,0.088803,7.432181345224823,-0.006666666666666629,-0.23166666666666472
3,0.0883545,7.432181345224823,-0.009999999999999995,-0.2349999999999981
